Q000929				Ur-Ningirsu II 03	rim:E3/1.1.8.3	Royal Inscription		Jamie Novotny	8/31/2019 6:47:25 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 183, E3/1.1.8.3					active			
Q000930				Nammahni 02	rim:E3/1.1.12.2	Royal Inscription		Jamie Novotny	8/31/2019 6:47:25 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 195, E3/1.1.12.2					active			
Q000931				Nammahni 03	rim:E3/1.1.12.3	Royal Inscription		Jamie Novotny	8/31/2019 6:47:25 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 196, E3/1.1.12.3					active			
Q000932				Nammahni 07	rim:E3/1.1.12.7	Royal Inscription		Jamie Novotny	8/31/2019 6:47:25 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 199, E3/1.1.12.7					active			
Q000933				Nammahni 11	rim:E3/1.1.12.11	Royal Inscription		Jamie Novotny	8/31/2019 6:47:25 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 202, E3/1.1.12.11					active			
Q000934				Nammahni 17	rim:E3/1.1.12.17	Royal Inscription		Jamie Novotny	8/31/2019 6:47:25 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 206, E3/1.1.12.17					active			
Q000935				Ur-Namma 02	rim:E3/2.1.1.2	Royal Inscription		Eleanor Robson	5/28/2015 4:05:28 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 022, E3/2.1.1.2		Ur-Namma			active			
Q000936				Ur-Namma 04	rim:E3/2.1.1.4	Royal Inscription		Eleanor Robson	5/28/2015 4:05:29 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 025, E3/2.1.1.4		Ur-Namma			active			
Q000937				Ur-Namma 05	rim:E3/2.1.1.5	Royal Inscription		Eleanor Robson	5/28/2015 4:05:29 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 027, E3/2.1.1.5		Ur-Namma			active			
Q000938				Ur-Namma 10	rim:E3/2.1.1.10	Royal Inscription		Eleanor Robson	5/28/2015 4:05:30 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 030, E3/2.1.1.10		Ur-Namma			active			
Q000939				Ur-Namma 11	rim:E3/2.1.1.11	Royal Inscription		Eleanor Robson	5/28/2015 4:05:30 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 031, E3/2.1.1.11		Ur-Namma			active			
Q000940				Ur-Namma 12	rim:E3/2.1.1.12	Royal Inscription		Eleanor Robson	5/28/2015 4:05:30 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 035, E3/2.1.1.12		Ur-Namma			active			
Q000941				Ur-Namma 13	rim:E3/2.1.1.13	Royal Inscription		Eleanor Robson	5/28/2015 4:05:30 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 036, E3/2.1.1.13		Ur-Namma			active			
Q000942				Ur-Namma 14	rim:E3/2.1.1.14	Royal Inscription		Eleanor Robson	5/28/2015 4:05:31 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 037, E3/2.1.1.14		Ur-Namma			active			
Q000943				Ur-Namma 15	rim:E3/2.1.1.15	Royal Inscription		Eleanor Robson	5/28/2015 4:05:31 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 037, E3/2.1.1.15		Ur-Namma			active			
Q000944				Ur-Namma 16	rim:E3/2.1.1.16	Royal Inscription		Eleanor Robson	5/28/2015 4:05:31 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 039, E3/2.1.1.16		Ur-Namma			active			
Q000945				Ur-Namma 17	rim:E3/2.1.1.17	Royal Inscription		Eleanor Robson	5/28/2015 4:05:31 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 039, E3/2.1.1.17		Ur-Namma			active			
Q000946				Ur-Namma 19	rim:E3/2.1.1.19	Royal Inscription		Eleanor Robson	5/28/2015 4:05:32 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 042, E3/2.1.1.19		Ur-Namma			active			
Q000947				Ur-Namma 20 (= Laws of Ur-Namma)	rim:E3/2.1.1.20	Royal Inscription		Eleanor Robson	5/28/2015 4:05:32 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 043, E3/2.1.1.20		Ur-Namma			active			
Q000949				Ur-Namma 24	rim:E3/2.1.1.24	Royal Inscription		Eleanor Robson	5/28/2015 4:05:32 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 059, E3/2.1.1.24		Ur-Namma			active			
Q000950				Ur-Namma 25	rim:E3/2.1.1.25	Royal Inscription		Eleanor Robson	5/28/2015 4:05:33 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 061, E3/2.1.1.25		Ur-Namma			active			
Q000951				Ur-Namma 26	rim:E3/2.1.1.26	Royal Inscription		Eleanor Robson	5/28/2015 4:05:33 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 062, E3/2.1.1.26		Ur-Namma			active			
Q000952				Ur-Namma 28	rim:E3/2.1.1.28	Royal Inscription		Eleanor Robson	5/28/2015 4:05:33 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 063, E3/2.1.1.28		Ur-Namma			active			
Q000953				Ur-Namma 33	rim:E3/2.1.1.33	Royal Inscription		Eleanor Robson	5/28/2015 4:05:33 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 069, E3/2.1.1.33		Ur-Namma			active			
Q000954				Ur-Namma 34	rim:E3/2.1.1.34	Royal Inscription		Eleanor Robson	5/28/2015 4:05:34 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 071, E3/2.1.1.34		Ur-Namma			active			
Q000955				Ur-Namma 35	rim:E3/2.1.1.35	Royal Inscription		Eleanor Robson	5/28/2015 4:05:34 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 072, E3/2.1.1.35		Ur-Namma			active			
Q000956				Ur-Namma 37	rim:E3/2.1.1.37	Royal Inscription		Eleanor Robson	5/28/2015 4:05:34 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 074, E3/2.1.1.37		Ur-Namma			active			
Q000957				Ur-Namma 39	rim:E3/2.1.1.39	Royal Inscription		Eleanor Robson	5/28/2015 4:05:34 PM		updated from Tinney file 1/24/2006		Ur III	Ur	RIME 3/2, p. 076, E3/2.1.1.39		Ur-Namma			active			
